Sun Apr  7 23:14:41 2019    /home/pi/ballance/Ballance/PythonCode/stats

         14936588 function calls (14873155 primitive calls) in 77.027 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1617   17.330    0.011   32.751    0.020 inspect.py:689(getmodule)
     5189   11.813    0.002   11.813    0.002 {built-in method _tensorflow_wrap_interpreter_wrapper.InterpreterWrapper_Invoke}
     1038    5.892    0.006    5.892    0.006 {warpPerspective}
3035244/3035235    5.528    0.000    5.529    0.000 {built-in method builtins.hasattr}
  2985722    5.527    0.000    7.001    0.000 inspect.py:63(ismodule)
     5189    1.932    0.000    1.932    0.000 {cvtColor}
  2973490    1.885    0.000    1.885    0.000 {method 'get' of 'dict' objects}
   137/99    1.694    0.012    2.120    0.021 {built-in method _imp.create_dynamic}
3120113/3119949    1.618    0.000    1.664    0.000 {built-in method builtins.isinstance}
     2373    1.392    0.001    1.392    0.001 {built-in method marshal.loads}
        4    1.016    0.254    1.016    0.254 {built-in method time.sleep}
     4152    1.002    0.000    9.083    0.002 TensorflowProcessingModule.py:53(getCornerPosition)
   2779/1    0.973    0.000   77.067   77.067 {built-in method builtins.exec}
      783    0.754    0.001    2.541    0.003 traceback.py:313(extract)
     1038    0.689    0.001   12.601    0.012 ImageProcessingModule.py:139(FindBoardCorners)
4589/4540    0.613    0.000   34.699    0.008 {built-in method builtins.__build_class__}
    24954    0.527    0.000    0.527    0.000 {built-in method posix.stat}
     4152    0.403    0.000    0.403    0.000 {resize}
    22161    0.327    0.000    0.523    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     1038    0.292    0.000    0.292    0.000 {getPerspectiveTransform}
        1    0.287    0.287    0.287    0.287 {built-in method pygame.base.init}
        1    0.279    0.279    0.317    0.317 tfprof_log_pb2.py:4(<module>)
    48165    0.239    0.000    1.003    0.000 traceback.py:279(line)
     1037    0.236    0.000    4.767    0.005 TensorflowProcessingModule.py:40(getBallPosition)
11176/173    0.231    0.000    1.902    0.011 python_message.py:1161(InternalParse)
     3824    0.227    0.000    0.947    0.000 <frozen importlib._bootstrap_external>:1223(find_spec)
     5190    0.222    0.000    0.222    0.000 {method 'astype' of 'numpy.ndarray' objects}
    11182    0.204    0.000    0.355    0.000 python_message.py:512(init)
    27528    0.197    0.000    0.221    0.000 decoder.py:122(DecodeVarint)
    15962    0.193    0.000    0.193    0.000 {built-in method posix.lstat}
    10378    0.191    0.000    0.370    0.000 shape_base.py:513(expand_dims)
       20    0.187    0.009    0.187    0.009 {built-in method _pywrap_tensorflow_internal.TF_LoadLibrary}
     5393    0.180    0.000    0.266    0.000 posixpath.py:319(normpath)
   131393    0.177    0.000    0.177    0.000 {method 'startswith' of 'str' objects}
     2375    0.176    0.000    0.280    0.000 <frozen importlib._bootstrap_external>:824(get_data)
    48004    0.176    0.000    0.733    0.000 linecache.py:15(getline)
    48004    0.172    0.000    0.270    0.000 linecache.py:147(lazycache)
     1037    0.170    0.000    5.163    0.005 ImageProcessingModule.py:116(UpdateBallTracker)
    25565    0.164    0.000    0.200    0.000 decoder.py:174(ReadTag)
    36411    0.154    0.000    0.424    0.000 linecache.py:82(updatecache)
     3065    0.150    0.000    1.308    0.000 <frozen importlib._bootstrap>:879(_find_spec)
      751    0.147    0.000    0.166    0.000 sre_compile.py:248(_optimize_charset)
55007/55005    0.146    0.000    0.147    0.000 {built-in method builtins.getattr}
    18202    0.145    0.000    0.239    0.000 posixpath.py:71(join)
     3114    0.141    0.000    0.141    0.000 {flip}
   109392    0.137    0.000    0.137    0.000 {method 'endswith' of 'str' objects}
     5189    0.137    0.000    0.137    0.000 {method 'round' of 'numpy.ndarray' objects}
        4    0.136    0.034    0.136    0.034 mmalobj.py:716(enable)
1960/1958    0.135    0.000    0.635    0.000 posixpath.py:378(_joinrealpath)
        1    0.135    0.135    0.137    0.137 {built-in method pygame.display.set_mode}
    48641    0.129    0.000    0.558    0.000 linecache.py:37(getlines)
        1    0.128    0.128   25.613   25.613 ImageProcessingModule.py:47(ProcessImage)
    48004    0.123    0.000    0.123    0.000 traceback.py:239(__init__)
 3346/100    0.120    0.000    1.893    0.019 decoder.py:691(DecodeRepeatedField)
    22161    0.120    0.000    0.165    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     3222    0.109    0.000   21.493    0.007 inspect.py:655(getsourcefile)
      230    0.108    0.000    0.125    0.001 {method 'readlines' of '_io._IOBase' objects}
    48787    0.108    0.000    0.108    0.000 traceback.py:286(walk_stack)
     2375    0.104    0.000    0.104    0.000 {method 'read' of '_io.FileIO' objects}
  968/248    0.103    0.000    0.313    0.001 sre_parse.py:491(_parse)
     8210    0.099    0.000    0.377    0.000 containers.py:372(add)
4539/4538    0.098    0.000    0.098    0.000 {built-in method __new__ of type object at 0x3e5440}
  359/332    0.095    0.000    0.535    0.002 python_message.py:152(__init__)
